step,contact,m0_0,m0_1,m0_2,o3,o4,o5,o0,o1,o2,m_i0,fric_ang,coh,tens
2,1,2,0,2,-0.032613227706609717,-0.00066709457988425977,1.000159462601077,-0.029720839983503927,-0.00096824455649095862,0,0,30,0,0
2,2,2,0,2,-0.029720839983503927,-0.00096824455649095862,0.99969837103019787,-0.029720840175316461,0.00096824466712985954,0,0,30,0,0
2,3,0,0,0,-0.032713902591026564,-0.00020327849663703866,0.49951012968739078,0,0,0.0001012104620324507,0,30,0,0
2,4,2,0,2,-0.032896504783326855,0.00013959352465067761,0.49951002181007487,-0.0008057716870345634,0.00023074616122415598,0,0,30,0,0
2,5,2,0,2,-0.032847519173536774,-0.00017305639599878489,0.50038824399389414,-0.0061811731027117678,-0.00070703516408884349,0.49999999960624997,0,30,0,0
2,6,2,0,2,-0.032847519294899048,0.00017305692493060047,0.50038389106101289,-0.0074579910807173813,-0.00061806896631449396,0.49999999960624997,0,30,0,0
2,7,2,0,2,-0.032896504665871865,-0.00013959301241701477,0.49956068617475319,-0.0003126499206494625,-4.8985609790080931e-05,0,0,30,0,0
2,8,2,0,2,-0.03271390275023206,0.00020327900318985138,0.49955943185119939,-0.0004166146575580591,-4.6477605654543508e-05,0,0,30,0,0
2,9,2,0,2,-0.032613227669186819,0.00066709501941011266,0.50008538123016033,-0.0060285017288847428,-1.1090696856704925e-05,0.49999999960624997,0,30,0,0
2,10,2,0,2,-0.029720840175316461,0.00096824466712985954,0.50008561505584825,-0.0059504269414876118,9.8736522945719874e-05,0.49999999960624997,0,30,0,0
2,11,2,0,2,0,0,0.50014597251075266,-0.0059473762099488958,-0.00022811799053607443,0.49999999960624997,0,30,0,0
2,12,2,0,2,-0.0008057716870345634,0.00023074616122415598,0.50014574081519336,-0.006024803127764343,-0.00011071282828719386,0.49999999960624997,0,30,0,0
2,13,2,0,2,-0.0061811731027117678,-0.00070703516408884349,0.49953621522872277,-0.00031264993734761524,4.8985370972823294e-05,0,0,30,0,0
2,14,2,0,2,-0.0074579910807173813,-0.00061806896631449396,0.49953619625772144,-0.00041661466212395001,4.6477365949926241e-05,0,0,30,0,0
2,15,2,0,2,-0.0003126499206494625,-4.8985609790080931e-05,0.50012620386398843,-0.0060077279332570108,6.9470855324537295e-05,0.49999999960624997,0,30,0,0
2,16,2,0,2,-0.0004166146575580591,-4.6477605654543508e-05,0.500126245489111,-0.0059938538156034393,0.00018849666702198468,0.49999999960624997,0,30,0,0
2,17,2,0,2,-0.0060285017288847428,-1.1090696856704925e-05,0.50012624652702764,-0.0059938536976800114,-0.00018849559452314852,0.49999999960624997,0,30,0,0
2,18,2,0,2,-0.0059504269414876118,9.8736522945719874e-05,0.50012620490208759,-0.0060077277236142285,-6.9469781964392457e-05,0.49999999960624997,0,30,0,0
2,19,0,0,0,-0.0059473762099488958,-0.00022811799053607443,0.49951012801312866,0,0,0.99989878618561401,0,30,0,0
2,20,2,0,2,-0.006024803127764343,-0.00011071282828719386,0.49962529601685346,-0.00080577179536927635,-0.00023074635273912653,0,0,30,0,0
2,21,2,0,2,-0.00031264993734761524,4.8985370972823294e-05,0.50014573977893795,-0.006024803324296904,0.00011071390807590587,0.49999999960624997,0,30,0,0
2,22,2,0,2,-0.00041661466212395001,4.6477365949926241e-05,0.50014597147463491,-0.0059473763317300851,0.00022811906760080149,0.49999999960624997,0,30,0,0
2,23,2,0,2,-0.0060077279332570108,6.9470855324537295e-05,0.50008561611115265,-0.0059504268658937404,-9.8735485808562726e-05,0.49999999960624997,0,30,0,0
2,24,2,0,2,-0.0059938538156034393,0.00018849666702198468,0.50008538228583976,-0.006028501501169431,1.109173213967629e-05,0.49999999960624997,0,30,0,0
2,25,2,0,2,-0.0059938536976800114,-0.00018849559452314852,0.50038389005869532,-0.0074579913724724493,0.00061807011836578622,0.49999999960624997,0,30,0,0
2,26,2,0,2,-0.0060077277236142285,-6.9469781964392457e-05,0.50038824299223639,-0.0061811732186328669,0.00070703630956071373,0.49999999960624997,0,30,0,0
2,27,2,0,2,0,0,0.49982649933841966,-9.9622131430488945e-05,-3.6986011203998803e-06,0,0,30,0,0
2,28,2,0,2,-0.00080577179536927635,-0.00023074635273912653,0.49983968889623709,-0.00023597413380489933,-3.0076326481429105e-05,0,0,30,0,0
2,29,2,0,2,-0.006024803324296904,0.00011071390807590587,0.50010208373505272,-0.0022499256667822889,0.00013245369947261054,0.49999999960624997,0,30,0,0
2,30,2,0,2,-0.0059473763317300851,0.00022811906760080149,0.50010110940603836,-0.0029932666335640221,0.00019130095737809717,0.49999999960624997,0,30,0,0
2,31,2,0,2,-0.0059504268658937404,-9.8735485808562726e-05,0.50008951821989167,-0.0021578346374608662,-0.00015869271931954077,0.49999999960624997,0,30,0,0
2,32,2,0,2,-0.006028501501169431,1.109173213967629e-05,0.50008932679810325,-0.002328516902759481,-0.00010755425726413356,0.49999999960624997,0,30,0,0
2,33,2,0,2,-0.0074579913724724493,0.00061807011836578622,0.49983969331220846,-0.00013894063728892974,-2.0964278230062305e-10,0,0,30,0,0
2,34,2,0,2,-0.0061811732186328669,0.00070703630956071373,0.49983969331225825,-0.00016951681126054695,-2.0974327136213944e-10,0,0,30,0,0
2,35,2,0,2,-9.9622131430488945e-05,-3.6986011203998803e-06,0.50004883108992904,-0.0021727304038562587,3.3720894668555226e-05,0.49999999960624997,0,30,0,0
2,36,2,0,2,-0.00023597413380489933,-3.0076326481429105e-05,0.50004881454166472,-0.0021879109639422953,7.7281414485358532e-05,0.49999999960624997,0,30,0,0
2,37,2,0,2,-0.0022499256667822889,0.00013245369947261054,0.50005342433913968,-0.0021745636292052964,-8.4757799305969884e-05,0.49999999960624997,0,30,0,0
2,38,2,0,2,-0.0029932666335640221,0.00019130095737809717,0.50005340920694419,-0.002188437697497457,-4.2934467836072961e-05,0.49999999960624997,0,30,0,0
2,39,2,0,2,-0.0021578346374608662,-0.00015869271931954077,0.49982466722329888,-9.9622175936229577e-05,3.6981768725269371e-06,0,0,30,0,0
2,40,2,0,2,-0.002328516902759481,-0.00010755425726413356,0.49982465578034496,-0.00023597410620639666,3.0075904162901734e-05,0,0,30,0,0
2,41,2,0,2,-0.00013894063728892974,-2.0964278230062305e-10,0.50005340823851785,-0.0021884379142441956,4.2935681102801019e-05,0.49999999960624997,0,30,0,0
2,42,2,0,2,-0.00016951681126054695,-2.0974327136213944e-10,0.5000534233706897,-0.0021745638389485678,8.4759011954577051e-05,0.49999999960624997,0,30,0,0
2,43,2,0,2,-0.0021727304038562587,3.3720894668555226e-05,0.5000488155174837,-0.0021879107788398341,-7.72802161083312e-05,0.49999999960624997,0,30,0,0
2,44,2,0,2,-0.0021879109639422953,7.7281414485358532e-05,0.50004883206576167,-0.0021727301730538259,-3.3719697187620569e-05,0.49999999960624997,0,30,0,0
2,45,2,0,2,-0.0021745636292052964,-8.4757799305969884e-05,0.50008932580911325,-0.0023285171083054501,0.00010755542939195812,0.49999999960624997,0,30,0,0
2,46,2,0,2,-0.002188437697497457,-4.2934467836072961e-05,0.5000895172308446,-0.0021578348746769324,0.00015869389009806546,0.49999999960624997,0,30,0,0
2,47,2,0,2,-9.9622175936229577e-05,3.6981768725269371e-06,0.50010111038914906,-0.0029932664621969245,-0.0001912997742686306,0.49999999960624997,0,30,0,0
2,48,2,0,2,-0.00023597410620639666,3.0075904162901734e-05,0.50010208471804274,-0.00224992550517851,-0.00013245251682902161,0.49999999960624997,0,30,0,0
2,49,2,0,2,-0.0021884379142441956,4.2935681102801019e-05,0.49990186417926513,-0.00024000795673674409,7.8591235977192031e-05,0,0,30,0,0
2,50,0,0,0,-0.0021745638389485678,8.4759011954577051e-05,0.499901856015596,0,0,0.00013127734409069193,0,30,0,0
2,51,2,0,2,-0.0021879107788398341,-7.72802161083312e-05,0.49985908690314157,-0.0009676974007975167,0.00029322135192501938,0.49999999960624997,0,30,0,0
2,52,2,0,2,-0.0021727301730538259,-3.3719697187620569e-05,0.49985926775267542,-0.00046156855542608261,0.00029437934990167788,0.49999999960624997,0,30,0,0
2,53,2,0,2,-0.0023285171083054501,0.00010755542939195812,0.49993411923857983,-7.665536250462818e-05,1.5707293641198383e-05,0,0,30,0,0
2,54,2,0,2,-0.0021578348746769324,0.00015869389009806546,0.49993411957927697,-6.7181970343674761e-05,1.4157682895754586e-05,0,0,30,0,0
2,55,2,0,2,-0.0029932664621969245,-0.0001912997742686306,0.50000224678468108,-0.00076998490042604756,-1.5854083085015194e-05,0.49999999960624997,0,30,0,0
2,56,2,0,2,-0.00224992550517851,-0.00013245251682902161,0.50000222006497352,-0.00083651475653773177,-6.9872890995064871e-06,0.49999999960624997,0,30,0,0
2,57,2,0,2,-0.00024000795673674409,7.8591235977192031e-05,0.50002677116107608,-0.00079894101078278185,-4.4862639707541488e-05,0.49999999960624997,0,30,0,0
2,58,2,0,2,0,0,0.50002677192959644,-0.00079701479801259911,-3.3189034636617173e-05,0.49999999960624997,0,30,0,0
2,59,2,0,2,-0.0009676974007975167,0.00029322135192501938,0.49994197129140072,-7.6655378290421588e-05,-1.5707741190369717e-05,0,0,30,0,0
2,60,2,0,2,-0.00046156855542608261,0.00029437934990167788,0.49994119650056473,-6.7181953007812035e-05,-1.4158129157774979e-05,0,0,30,0,0
2,61,2,0,2,-7.665536250462818e-05,1.5707293641198383e-05,0.50001549818635582,-0.00078540304886333401,8.908537123330932e-06,0.49999999960624997,0,30,0,0
2,62,2,0,2,-6.7181970343674761e-05,1.4157682895754586e-05,0.50001549842961768,-0.00078478332788702726,2.2319330636133277e-05,0.49999999960624997,0,30,0,0
2,63,2,0,2,-0.00076998490042604756,-1.5854083085015194e-05,0.50001549940725609,-0.00078478312202904382,-2.2318135719337748e-05,0.49999999960624997,0,30,0,0
2,64,2,0,2,-0.00083651475653773177,-6.9872890995064871e-06,0.50001549916398336,-0.00078540284323824761,-8.9073425166087252e-06,0.49999999960624997,0,30,0,0
2,65,2,0,2,-0.00079894101078278185,-4.4862639707541488e-05,0.49994112356382731,-0.0002400079462209797,-7.8591603126940135e-05,0,0,30,0,0
2,66,0,0,0,-0.00079701479801259911,-3.3189034636617173e-05,0.49990185425627659,0,0,0.99986871913577868,0,30,0,0
