step,contact,m0_0,m0_1,m0_2,o3,o4,o5,o0,o1,o2
1,1,2,0,2,1.0013783030478139e-307,1.780190822708324e-306,0.99999999998425004,0,0,0.1999999999937
1,2,2,0,2,0,0,0.99999999998425004,0,0,0
1,3,2,0,2,0,0,0.99999999998425004,0,0,0.1999999999937
1,4,2,0,2,1.0013808487692646e-307,1.9582211764281057e-306,0.99999999998425004,0,0,0.39999999998739999
1,5,2,0,2,7.5660116542352431e-307,1.6912041649019805e-306,0.99999999998425004,0,0,0.39999999998739999
1,6,2,0,2,8.9009541130235433e-307,1.6911905830720653e-306,0.99999999998425004,0,0,0.59999999998109999
1,7,2,0,2,1.6911240373669469e-306,1.6911905830720447e-306,0.99999999998425004,0,0,0.59999999998109999
1,8,2,0,2,9.3460979024835392e-307,1.6911905830720643e-306,0.99999999998425004,0,0,0.79999999997479998
1,9,2,0,2,0,0,0.99999999998425004,0,0,0.79999999997479998
1,10,2,0,2,1.780190822708324e-306,1.6911905830720447e-306,1.0000000003937499,0,0,0
1,11,2,0,2,0,0,0.49999999921249993,0,0,0
1,12,2,0,2,7.5660388151597048e-307,8.344515035945973e-308,0.49999999921249993,0,0,0
1,13,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,14,2,0,2,1.0013740591468898e-307,1.9582211764281057e-306,0.50000000059062499,0,0,0.49999999960624997
1,15,2,0,2,0,0,0.49999999921249993,0,0,0
1,16,2,0,2,0,0,0.49999999921249993,0,0,0
1,17,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,18,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,19,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,20,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,21,2,0,2,0,0,0.49999999921249993,0,0,0
1,22,2,0,2,0,0,0.49999999921249993,0,0,0
1,23,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,24,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,25,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,26,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,27,2,0,2,0,0,0.49999999921249993,0,0,0
1,28,2,0,2,0,0,0.49999999921249993,0,0,0
