step,m9,contact,jj,l1,l2,l3,m_i0,b1,s1,s2,s3,x1,y1,x2,y2,x3,y3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,m0_2
2,0,1,0,9,4,3,0,10.000098815311205,-0.029720343515034438,-0.00096725045184571938,0,-0.001016658101388137,0.9639716166065696,-4.9407649530658415e-05,0.99369196012160366,10.000049407661674,0.99369196011764704,3.9565737181528063e-13,1,-1.0008462386800296,-3.9599219238742761e-13,-0.49817903465397911,-0.500423119340212,-3.9565737181528063e-13,-1,5.0010166581053879,-0.029720343513055747,-0.4996991600706655,2.5005083290525079,1,-3.9565737181528063e-13,0.49817903465437513,-1.0008462386802268,1.9710820754466699e-13,-0.24908951732679152,-1,3.9564626969474033e-13,0.46997881655365248,4.999082157201487,2.0946318782197644e-13,-0.26470975179383854,1,-3.9565737181528063e-13,-0.49969916006868681,-5.0000494076533446,-1.9770965637186258e-13,0.24984958003632171,2
2,0,2,0,3,42,41,0,2.0003210163605938,-0.029721711243993847,0.00092427508793556617,0,10.000049407661674,0.99369196011764704,10.001016658224355,0.96397161641070916,8.0006977330042108,0.96107922985178462,0.0014459611908627459,-0.99999895459757082,-5.000766726186626,0.0072298773958695264,-0.49969863767999273,-2.4996608175007498,-0.0014459611908627459,0.99999895459757082,0.99920056967596738,-0.031167497456256906,-0.49817991257656918,0.50027765792477952,-0.99999895459757082,-0.0014459611908627459,0.49246876028412317,-5.0000441805940632,-0.00072254559256317171,-0.25346425753793111,0.99999895459757082,0.0014459611908627459,0.46990398754483836,1.001812441865793,-0.00076332201395440901,-0.26322512159059902,-0.99999895459757082,-0.0014459611908627459,-0.49962569878883223,-1.0008451923142783,0.00072034755037507503,0.24836566457537756,2
2,0,4,0,20,11,10,0,0.9992514001275693,-0.00080445555592245719,0.00023135808396442613,0,1.9998710464426839,1.9600994338385695,2.0006758192590657,1.9603296859145278,1.9993022671322691,0.96107922981682725,0.99999905526290123,-0.0013745811380611716,-0.4982767571064694,-1.0001283854731662,-0.00068681219838112866,0.25051313746633141,-0.99999905526290123,0.0013745811380611716,0.49932295028358814,-1.0008449766434944,-0.00011998455167018639,-0.24828683700553861,-0.0013745811380611716,-0.99999905526290123,1.0008151976715474,0.0013747589130967339,-0.49965151601956614,0.4997207866373925,0.0013745811380609493,0.99999905526290123,0.99935605008331962,0.0013768505873229097,0.49840881586419394,0.50116758460215582,-0.0013745811380611716,-0.99999905526290123,-1.0001605056392422,-0.0013757443617893092,-0.49817856400576327,-0.50076504032403391,2
2,0,5,0,11,50,49,0,2.0001429835038791,-0.0061807896828014229,-0.0007049942674046348,0.49999999960624997,2.0006758192590657,1.9603296859145278,3.0000412548212116,1.9539796398377418,0.99989830000347169,1.9543183916042492,-0.00016936377514071963,-0.99999998565795567,-1.0007618508440408,-0.00016950709731827296,-0.49817902750907339,-0.50046529890402536,0.00016936377514071963,0.99999998565795567,0.00071382743903128582,-0.0061806829460705776,-0.49982661143445239,0.00027330799836230844,-0.99999998565795567,0.00016936377514071963,0.49834853460639167,-1.0008462243260456,8.437348200495731e-05,-0.24900476020587756,0.99999998565795567,-0.00016936377514075216,0.49364571501492016,-0.00078186038020513365,8.5699284427193475e-05,-0.2530035147714339,-0.99999998565795567,0.00016936377514071963,-0.49982650469772161,7.5819331163674405e-05,-8.4652502790278286e-05,0.24991323950781244,2
2,0,6,0,49,12,11,0,2.0003210163744409,-0.0074583735950573601,-0.00060727196635734207,0.49999999960624997,0.99989830000347169,1.9543183916042492,0.00035689402540809014,1.96322207270427,2.0006758192590657,1.9603296859145278,0.0014459613062430088,0.99999895459740407,-0.9994237671056444,-0.0014461742927699816,-0.49965660079896629,-0.50043436841927402,-0.0014459613062430088,-0.99999895459740407,0.00064293615592464633,-0.0074584729606863654,-0.49962559942532453,-0.00039018743075573925,0.99999895459740407,-0.0014459613062430088,0.50110277509173629,-1.0001462519720963,0.00072248486645176972,-0.24910521325309815,-0.99999895459740407,0.0014459613062430244,0.49216732519589623,-0.0013048297628381459,0.00073322198604820765,-0.25354014945768477,0.99999895459740407,-0.0014459613062430088,-0.49962569879095359,0.00068677455781582263,-0.00072243874738312343,0.24981185634500191,2
2,0,7,0,18,25,28,0,0.99911887068785199,-0.00031264515463450313,-4.8983226559293646e-05,0,4.0001297071075808,0.96079545771989783,3.9998170619529505,0.96084444094648425,3.9998170620396341,1.9599633116343362,-1,8.6759996003073277e-11,-0.49965198797256477,-1.0001293303324488,-4.3349804486955605e-11,0.24982599407305361,1,-8.6759996003073277e-11,0.4996084185961841,-1.00018293820343,-0.00031264511128847877,-0.24980420921134333,8.6759996003073277e-11,1,1.0001293303757985,8.6771216702199598e-11,-0.49965198805933597,0.5000646651445495,-8.6759996003073277e-11,-1,0.99987029300544938,8.6802992797808962e-11,0.4995104520562626,0.50024779170069678,8.6759996003073277e-11,1,-1.000182938160084,-8.6775867720871304e-11,-0.49955943528284896,-0.50009146912338376,2
2,0,8,0,28,19,18,0,0.99912137933498524,-0.00041661472566007467,-4.6436637433610697e-05,0,3.9998170620396341,1.9599633116343362,4.0002336719310163,1.9599168316457882,4.0001297071075808,0.96079545771989783,0.99999999458614841,-0.00010405624940660649,-0.49945535741520147,-1.0001829327019003,-5.1982281203926523e-05,0.24983175399286164,-0.99999999458614841,0.00010405624940660649,0.49961990032516052,-1.0002332945773029,-0.00036463697814009913,-0.24970591298821745,-0.00010405624940660649,-0.99999999458614841,1.0002349149831042,0.00010407528526090818,-0.49955943270046238,0.50006547521034816,0.00010405624940660649,0.99999999458614841,0.99976470210412305,0.0001041238760882955,0.49942290317420496,0.50035093385217499,-0.00010405624940660649,-0.99999999458614841,-1.0001813168297831,-0.00010408052522553253,-0.49946938316250128,-0.50014263132587822,2
2,0,9,0,50,20,19,0,2.0003626338227112,-0.006028493892976724,-1.0553269717880682e-05,0.49999999960624997,3.0000412548212116,1.9539796398377418,1.9998710464426839,1.9600994338385695,4.0002336719310163,1.9599168316457882,9.1284544958914856e-05,0.99999999583356591,1.0000412950185689,9.1284148536523036e-05,-0.49999587282512747,0.49997500561336206,-9.1284544958914856e-05,-0.99999999583356591,4.1738158478455576e-06,-0.0060284976245105603,-0.49956068589521546,-4.2964953833247938e-05,0.99999999583356591,-9.1284544958914856e-05,0.49990458867659093,0.9999956531226466,4.5641895922341177e-05,-0.25004357848683201,-0.99999999583356591,9.1284544958955175e-05,0.49353219573377266,-6.3085201808027181e-05,4.6152478220378066e-05,-0.25279458600115901,0.99999999583356591,-9.1284544958914856e-05,-0.49956068962674927,5.198162385862067e-05,-4.5602169988781916e-05,0.24978034006825572,2
2,0,10,0,20,50,49,0,2.0001429835038791,-0.0059504013107831138,9.9739541074264212e-05,0.49999999960624997,1.9998710464426839,1.9600994338385695,3.0000412548212116,1.9539796398377418,0.99989830000347169,1.9543183916042492,-0.00016936377514071963,-0.99999998565795567,1.0002139389355031,0.00016938567901406327,-0.49965198089330481,0.50002234652079725,0.00016936377514071963,0.99999998565795567,-9.090636944759807e-05,-0.0059504308734145807,-0.4998264751350901,-0.00012909790223804233,-0.99999998565795567,0.00016936377514071963,0.49948259521429073,1.0001293159885489,8.4622946954294876e-05,-0.24991068328615942,0.99999998565795589,-0.00016936377514075216,0.49387610338693855,2.2912424634464805e-05,8.5660288066375281e-05,-0.25288845688478717,-0.99999998565795567,0.00016936377514071963,-0.49982650469772161,7.5819331163674405e-05,-8.4652502790278286e-05,0.24991323950781244,2
2,0,11,0,19,58,57,0,2.000127824676269,-0.0059473769380222787,-0.00022803071473557351,0.49999999960624997,4.0002336719310163,1.9599168316457882,5.0000694701609492,1.9539555836931561,2.9999416456771608,1.9539833320506157,-1.3873292055245157e-05,-0.99999999990376576,-1.0002263657749648,-1.3876528627077813e-05,-0.49946938581848838,-0.50012011217214525,1.3873292055245157e-05,0.99999999990376576,0.00022732180538105324,-0.0059473738793790632,-0.49983969739190104,0.00010680899028438974,-0.99999999990376576,1.3873292055245157e-05,0.49948326234711549,-1.0002332950596278,6.9292846627806471e-06,-0.24972775464493066,0.99999999990376576,-1.3873292055242555e-05,0.49389231739523559,-0.00023575655580276885,7.0169317128118476e-06,-0.2528935323649204,-0.99999999990376576,1.3873292055245157e-05,-0.49983969433325781,7.6433314140650208e-06,-6.9344220594859832e-06,0.24991984706059073,2
2,0,12,0,57,20,19,0,2.0003626338227112,-0.0060248107728936113,-0.00011016275039566517,0.49999999960624997,2.9999416456771608,1.9539833320506157,1.9998710464426839,1.9600994338385695,4.0002336719310163,1.9599168316457882,9.1284544958914856e-05,0.99999999583356591,-1.0000259258215809,-9.1291076948754813e-05,-0.49982581801408926,-0.5000585892833368,-9.1284544958914856e-05,-0.99999999583356591,0.00010378329652558763,-0.0060248054116520573,-0.49956069498799083,6.8394494636113287e-06,0.99999999583356591,-9.1284544958914856e-05,0.49991710909103798,-1.0000715521941272,4.5626372546232795e-05,-0.24986726346857024,-0.99999999583356591,9.1284544958955175e-05,0.4935358788538558,-0.00016269434544386848,4.6152141178406179e-05,-0.25279273534834207,0.99999999583356591,-9.1284544958914856e-05,-0.49956068962674927,5.198162385862067e-05,-4.5602169988781916e-05,0.24978034006825572,2
2,0,13,0,26,33,36,0,0.99912137933586909,-0.00031265026662739668,4.8950454885826608e-05,0,6.0001829382731193,0.96084444082433063,5.9998702931017762,0.96079545783655373,5.9997663284638394,1.9599168317633473,-0.99999999458616773,-0.0001040560637446606,-0.4996635078000366,-1.0001829327019205,5.1982188454749613e-05,0.2497276788004533,0.99999999458616773,0.0001040560637446606,0.49949896523938803,-1.0001293301048133,-0.00036463698875571727,-0.24985351960842747,-0.0001040560637446606,0.99999999458616773,1.0001309505134657,-0.00010407509956499775,-0.4995594327004716,0.50011745744518754,0.0001040560637446606,-0.99999999458616773,0.99986866656031437,-0.00010410205398521348,0.49970096820314491,0.50019498663070239,-0.0001040560637446606,0.99999999458616773,-1.0001813168269418,0.00010406952135933474,-0.4996519852156332,-0.50003866659436558,2
