step,contact,jj,block_i,block_j,mtype,q01,q02,b1,cs1,cs2,cs3,x1,y1,x2,y2,x3,y3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,o3,o4,o5,m0_0,m0_1,m0_2,k5,fric_ang,cohesion
1,16,0,4,3,0,1,1,1,-0,0,0,4,2,4,2,4,1,1,0,-0.5,-1,0,0.25,-1,0,0.5,-1,0,-0.25,0,-1,1,-0,-0.5,0.5,0,1,1,0,0.5,0.5,0,-1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,17,0,7,3,0,1,1,2,-0,7.8750006515804216e-10,0.49999999960624997,3,2,2,2,4,2,0,1,0.99999999999999956,0,-0.50000000000000044,0.49999999999999978,0,-1,0,0,-0.5,0,1,0,0.50000000000000044,0.99999999999999956,0,-0.25000000000000022,-1,0,0.5,1.5750001303160843e-09,0,-0.25,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
1,18,0,3,7,0,1,1,2,0,7.8750017618034462e-10,0.49999999960624997,2,2,3,2,1,2,0,-1,1,-0,-0.5,0.5,0,1,-4.4408920985006262e-16,0,-0.50000000000000044,-2.2204460492503131e-16,-1,0,0.5,1,0,-0.25,1,0,0.50000000000000044,1.5749997972491769e-09,0,-0.25000000000000022,-1,0,-0.50000000000000044,-7.8749962106883231e-10,-0,0.25000000000000022,0,0,0.49999999980312493,2,0,2,0,30,0
1,19,0,3,8,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,4,2,5,2,3,2,0,-1,-1,0,-0.5,-0.5,0,1,0,0,-0.5,0,-1,0,0.5,-1,0,-0.25,1,0,0.5,1.5749997972491769e-09,0,-0.25,-1,0,-0.5,-7.8750006515804216e-10,-0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
1,20,0,8,3,0,1,1,2,-0,7.8750006515804216e-10,0.49999999960624997,3,2,2,2,4,2,0,1,-1,0,-0.5,-0.5,0,-1,0,0,-0.5,0,1,0,0.5,-1,0,-0.25,-1,0,0.5,1.5750001303160843e-09,0,-0.25,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
1,21,0,4,5,0,1,1,1,0,0,0,6,1,6,1,6,2,-1,0,-0.5,-1,-0,0.25,1,0,0.5,-1,0,-0.25,0,1,1,0,-0.5,0.5,0,-1,1,0,0.5,0.5,0,1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,22,0,5,4,0,1,1,1,-0,0,0,6,2,6,2,6,1,1,0,-0.5,-1,0,0.25,-1,0,0.5,-1,0,-0.25,0,-1,1,-0,-0.5,0.5,0,1,1,0,0.5,0.5,0,-1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,23,0,8,4,0,1,1,2,-0,7.8750028720264709e-10,0.49999999960624997,5,2,4,2,6,2,0,1,1,0,-0.5,0.5,0,-1,0,0,-0.5,0,1,0,0.5,1,0,-0.25,-0.99999999999999978,0,0.49999999999999989,1.5750003523606892e-09,0,-0.24999999999999994,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
1,24,0,4,8,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,4,2,5,2,3,2,0,-1,1,-0,-0.5,0.5,0,1,0,0,-0.5,0,-1,0,0.5,1,0,-0.25,1,0,0.5,1.5749997972491769e-09,0,-0.25,-1,0,-0.5,-7.8750006515804216e-10,-0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
1,25,0,4,9,0,1,1,2,0,7.8750028720264709e-10,0.49999999960624997,6,2,7,2,5,2,0,-1,-1,0,-0.5,-0.5,0,1,8.8817841970012523e-16,0,-0.49999999999999956,4.4408920985006262e-16,-1,0,0.5,-1,0,-0.25,0.99999999999999989,0,0.4999999999999995,1.5750013515614114e-09,0,-0.24999999999999975,-1,0,-0.49999999999999956,-7.8750095333646186e-10,-0,0.24999999999999978,0,0,0.50000000059062499,2,0,2,0,30,0
1,26,0,9,4,0,1,1,2,-0,7.8750028720264709e-10,0.49999999960624997,5,2,4,2,6,2,0,1,-0.99999999999999911,0,-0.49999999999999956,-0.49999999999999956,0,-1,0,0,-0.5,0,1,0,0.49999999999999956,-0.99999999999999911,0,-0.24999999999999978,-0.99999999999999978,0,0.49999999999999989,1.5750003523606892e-09,0,-0.24999999999999994,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
1,27,0,5,6,0,1,1,1,0,0,0,8,1,8,1,8,2,-1,0,-0.5,-1,-0,0.25,1,0,0.5,-1.0000000000000018,0,-0.25,0,1,1,0,-0.5,0.5,0,-1,1.0000000000000018,0,0.5,0.50000000000000089,0,1,-1.0000000000000018,0,-0.5,-0.50000000000000089,0,0,0.49999999921249993,2,0,2,0,30,0
1,28,0,6,5,0,1,1,1,-0,0,0,8,2,8,2,8,1,1,0,-0.5,-1.0000000000000018,0,0.25,-1,0,0.5,-1,0,-0.25,0,-1,1.0000000000000018,-0,-0.5,0.50000000000000089,0,1,1,0,0.5,0.5,0,-1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,29,0,9,5,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,7,2,6,2,8,2,0,1,1.0000000000000009,0,-0.49999999999999956,0.50000000000000044,0,-1,0,0,-0.5,0,1,0,0.49999999999999956,1.0000000000000009,0,-0.24999999999999978,-1,0,0.5,1.5749996862268745e-09,0,-0.25,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
1,30,0,5,9,0,1,1,2,0,7.8750028720264709e-10,0.49999999960624997,6,2,7,2,5,2,0,-1,1,-0,-0.5,0.5,0,1,8.8817841970012523e-16,0,-0.49999999999999956,4.4408920985006262e-16,-1,0,0.5,1,0,-0.25,0.99999999999999989,0,0.4999999999999995,1.5750013515614114e-09,0,-0.24999999999999975,-1,0,-0.49999999999999956,-7.8750095333646186e-10,-0,0.24999999999999978,0,0,0.49999999980312493,2,0,2,0,30,0
1,31,0,5,10,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,8,2,9,2,7,2,0,-1,-1,0,-0.5,-0.5,0,1,-1.7763568394002505e-15,0,-0.50000000000000044,-8.8817841970012523e-16,-1,0,0.5,-1,0,-0.25,1,0,0.50000000000000044,1.5749980208923375e-09,0,-0.25000000000000022,-1,0,-0.50000000000000044,-7.8749828880120276e-10,-0,0.25000000000000022,0,0,0.50000000059062499,2,0,2,0,30,0
1,32,0,10,5,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,7,2,6,2,8,2,0,1,-1.0000000000000018,0,-0.50000000000000044,-0.50000000000000089,0,-1,0,0,-0.5,0,1,0,0.50000000000000044,-1.0000000000000018,0,-0.25000000000000022,-1,0,0.5,1.5749996862268745e-09,0,-0.25,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
1,33,0,10,6,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,9,2,8,2,10,2,0,1,0.99999999999999822,0,-0.50000000000000044,0.49999999999999911,0,-1,1.7763568394002505e-15,0,-0.5,8.8817841970012523e-16,1,0,0.50000000000000044,0.99999999999999822,0,-0.25000000000000022,-1.0000000000000002,0,0.50000000000000011,1.5750016846283188e-09,0,-0.25000000000000006,1,0,-0.5,-7.8750184151488156e-10,0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
