step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,1,1,0,2,2,2,-0.043580044994088317,-0.0078358638665918523,0,3.1500000000000004
2,1,2,0,2,2,2,-0.043570769451891173,0.0073973397413307548,0,3.1500000000000004
2,1,3,0,0,0,0,0.0085290971445087169,-0.00020327849663703866,0,3.1500000000000004
2,1,4,0,2,2,2,-0.0049238876827917043,-0.0048267962309363104,0,3.1500000000000004
2,1,5,0,2,2,0,0.0018279478760390511,-0.00017305639599878489,0,3.1500000000000004
2,1,6,0,2,2,2,-0.011582601599894066,-0.0054382366996661019,0,3.1500000000000004
2,1,7,0,2,2,2,-0.00034816241752432073,-0.00022754576277479846,0,3.1500000000000004
2,1,8,0,2,2,2,-0.000553569586092514,-0.00022430307845113987,0,3.1500000000000004
2,1,9,0,2,2,2,-0.0038065288798161119,-0.00045783925411340884,0,3.1500000000000004
2,1,10,0,2,2,2,-0.0030141572810437399,-0.00052958253389572202,0,3.1500000000000004
2,1,11,0,2,2,2,-0.0032551997726096306,-0.00043379554660972531,0,3.1500000000000004
2,1,12,0,2,2,2,-0.003394980556668837,-0.00052164804325338827,0,3.1500000000000004
2,1,13,0,2,2,2,-0.00034835500266538165,0.00022608814392307533,0,3.1500000000000004
2,1,14,0,2,2,2,-0.00055134761973504789,0.00022324519922415129,0,3.1500000000000004
2,1,15,0,2,2,2,-0.0034475554356580259,0.000137110568510515,0,3.1500000000000004
2,1,16,0,2,2,2,-0.0034795773364268011,0.00011942020434043345,0,3.1500000000000004
2,1,17,0,2,2,2,-0.0034796779368922955,-0.00011968562203121524,0,3.1500000000000004
2,1,18,0,2,2,2,-0.0034475364016681442,-0.00013741989401096653,0,3.1500000000000004
2,1,19,0,0,0,0,0.0085786771316433107,-0.00022811799053607443,0,3.1500000000000004
2,1,20,0,2,2,2,-0.0049031395397371776,0.0048611330224559877,0,3.1500000000000004
2,1,21,0,2,2,2,-0.0033940037729834941,0.00051881944397852669,0,3.1500000000000004
2,1,22,0,2,2,2,-0.0032564580067474536,0.00043133648710018592,0,3.1500000000000004
2,1,23,0,2,2,2,-0.0030120029960714017,0.00052757452263558005,0,3.1500000000000004
2,1,24,0,2,2,2,-0.0038079923471692066,0.00045633022140230281,0,3.1500000000000004
2,1,25,0,2,2,2,-0.011587443121341398,0.0054405581275465738,0,3.1500000000000004
2,1,26,0,2,2,0,0.0018484831127542466,-6.9469781964392457e-05,0,3.1500000000000004
2,1,27,0,2,2,1,-6.3812267956900651e-05,-0.00041155973894138197,0,3.1500000000000004
2,1,28,0,2,2,2,-0.00080910508043202059,-0.00045427764590482447,0,3.1500000000000004
2,1,29,0,2,2,2,-0.0023509815751574696,-0.00042995819234878532,0,3.1500000000000004
2,1,30,0,2,2,2,-0.0040755164676430436,-0.00044473463011255433,0,3.1500000000000004
2,1,31,0,2,2,2,-0.0017190668633874865,-0.0007609337412037069,0,3.1500000000000004
2,1,32,0,2,2,2,-0.0026261618964403405,-0.00076239564602944697,0,3.1500000000000004
2,1,33,0,2,2,2,-0.00027456956553835509,-1.8446379422838513e-08,0,3.1500000000000004
2,1,34,0,2,2,2,-0.00023627859910021448,-6.1463283676920472e-09,0,3.1500000000000004
2,1,35,0,2,2,2,-0.0022009566655966841,3.9268801071083895e-05,0,3.1500000000000004
2,1,36,0,2,2,2,-0.0021736016432902473,4.8062365874259859e-05,0,3.1500000000000004
2,1,37,0,2,2,2,-0.0022358556208219803,-0.00011832769534938386,0,3.1500000000000004
2,1,38,0,2,2,2,-0.0022045936951734951,-0.00011496648740656526,0,3.1500000000000004
2,1,39,0,2,2,1,-6.2549572620267108e-05,0.00041393025774578019,0,3.1500000000000004
2,1,40,0,2,2,2,-0.00080912655030122751,0.00045674822543664427,0,3.1500000000000004
2,1,41,0,2,2,2,-0.002204444145154185,0.00011452876397627558,0,3.1500000000000004
2,1,42,0,2,2,2,-0.0022358595445199688,0.00011793283451938256,0,3.1500000000000004
2,1,43,0,2,2,2,-0.0021735368321787493,-4.8572743648571543e-05,0,3.1500000000000004
2,1,44,0,2,2,2,-0.0022009785626522604,-3.9726638435764662e-05,0,3.1500000000000004
2,1,45,0,2,2,2,-0.0026251721486451568,0.0007620225301703615,0,3.1500000000000004
2,1,46,0,2,2,2,-0.001716786030821709,0.00076052119401193738,0,3.1500000000000004
2,1,47,0,2,2,2,-0.0040753457351224544,0.00044456840454444493,0,3.1500000000000004
2,1,48,0,2,2,2,-0.0023499523787681655,0.00042974412362534729,0,3.1500000000000004
