step,row_block,z1,z2,z3,z4,z5,z6
1,1,-1.6640318202536914e-05,-0.04986998836494929,9.8901556469504679e-05,7.0129374318457581e-07,-4.9965344149216236e-06,5.4264965552279238e-06
1,2,1.6640053974753259e-05,-0.04986998848869123,-9.8901695849610552e-05,7.0130485899523196e-07,-4.9965338373293435e-06,-5.4264763021424738e-06
1,3,0.00012199911625117246,-0.037857045215269079,0.0013730644311026907,0.00016539752095326302,-0.0007496686160888015,8.0772746305602825e-05
1,4,-1.3203807724347492e-06,-0.049049117604106858,0.00051903123230826592,1.5767780262419386e-05,-6.6331708284964749e-05,2.870958594954065e-05
1,5,1.3203784510136169e-06,-0.049049117819939932,-0.00051903151274468881,1.5767780388894941e-05,-6.6331708364881603e-05,-2.8709542623080826e-05
1,6,-9.9665669312851875e-06,-0.049747355536241392,1.5472678752191595e-05,3.0667644823078187e-06,-1.026262263710342e-05,-3.0792985370126178e-07
1,7,9.9661982999951572e-06,-0.049747355556701615,-1.5472840803484661e-05,3.0667689080436208e-06,-1.0262623516612603e-05,3.0796597902383021e-07
1,8,-0.00012199890759214968,-0.037857045126728515,-0.0013730645452319494,0.00016539752883949524,-0.00074966861285584191,-8.0772718303144184e-05
1,9,3.5963844146525075e-05,-0.039547075043218582,0.00013268239096107484,0.0001875739489633075,-0.00088054591375713467,-2.0182339441452909e-05
1,10,-2.5675859890140897e-05,-0.049506188943935943,5.9925102614341157e-05,1.1160673000216821e-05,-4.0458919466129859e-05,1.0232777379452632e-05
1,11,2.5675803435269314e-05,-0.049506189036141408,-5.9925437576142848e-05,1.1160673720114007e-05,-4.0458918120104456e-05,-1.0232696940646083e-05
1,12,-3.5963550085341909e-05,-0.03954707502695496,-0.00013268255025017427,0.00018757395248258731,-0.00088054591403485751,2.0182387378458403e-05
1,13,-8.6775985848889294e-06,-0.048582502504780932,-1.8770647901308391e-05,2.4190009257597554e-05,-0.0001181771446121981,1.2826798564966248e-05
1,14,-3.9735079648513543e-06,-0.049458634784167385,1.092914660552315e-06,9.5083267221143675e-06,-4.1448571149135338e-05,-1.1235466430000142e-06
1,15,1.5557356284164525e-10,-0.039600262925159772,-7.3511171271283676e-11,0.00018507885309025887,-0.00088164567055704448,2.5614199346615796e-11
1,16,3.8502478689352281e-12,-0.0060072456649956666,-2.473848627034328e-12,9.8299964407438259e-06,-0.0006016857996729428,4.1593800615118831e-12
1,17,8.6775954926830964e-06,-0.04858250247927455,1.8770355588030576e-05,2.4190009230660111e-05,-0.00011817714456676966,-1.2826710790950907e-05
1,18,3.973442021556204e-06,-0.049458634787117414,-1.0931662957046507e-06,9.5083272069824793e-06,-4.1448571215983788e-05,1.1236329599753448e-06
1,19,-1.1558676989271508e-05,-0.046191706700421886,1.5952256283300313e-05,6.4073128708404999e-05,-0.00032020713515246797,-1.2648966571245871e-06
1,20,-4.5883084185324714e-05,-0.046022963024747364,0.00015883019936008009,7.1123815095423099e-05,-0.00034773066277860807,1.7840071456719988e-05
1,21,-1.5765132001097819e-12,-0.048595639190616109,-1.3259561672382056e-10,2.3302252367246632e-05,-0.00011618876687913716,4.652441734816215e-11
1,22,-1.9555198262521023e-10,-0.049740430632219473,-7.0008191569050212e-11,2.8270555110069479e-06,-1.0250729242006094e-05,1.9638562653791387e-11
1,23,4.5883123640331976e-05,-0.046022962936447968,-0.0001588305374318249,7.1123815617062702e-05,-0.00034773066089458177,-1.7839988588878473e-05
1,24,1.1558725276225388e-05,-0.046191706697406493,-1.5952513749023675e-05,6.4073129177267144e-05,-0.00032020713523136618,1.2649852207404397e-06
