step,contact,mtype,p1,p2,p3,m4,m5,m6,m0_0,m0_2,o2,o3,o4,o5
1,1,0,56,45,44,0,55,0,2,2,0.99999999458231448,8.4560344055937976e-307,9.456954352486566e-308,0.38125749130017106
1,2,0,56,44,43,0,55,0,2,2,0,2.1432539567153697e-312,2.2251909946953489e-307,0
1,3,0,55,45,44,45,56,55,2,2,0,1.4463548782810479e-307,1.3796232035098384e-306,0.38125749130017106
1,4,0,38,94,93,94,39,38,2,2,-0,1.0013808487692646e-307,1.9582211764281057e-306,1.4931121245363657
1,5,0,93,39,38,39,94,93,2,2,0,1.0236093493850094e-306,4.4506103183784886e-308,1.4931121245363657
1,6,0,108,41,40,0,107,0,2,2,0.73292410015419407,7.5660116542352431e-307,1.6912041649019805e-306,1.180946344925621
1,7,0,107,42,41,0,106,0,2,2,0.99999997622641557,1.6911226806366113e-306,1.6911905830720447e-306,0.18200274506858388
1,8,0,107,41,40,108,0,0,2,2,-0,5.340411532482743e-307,2.1138982566070814e-307,1.180946344925621
1,9,0,42,107,106,0,41,0,2,2,0.99999997622641557,1.0013774544437718e-307,1.9582211764281057e-306,0.18200274506858388
1,10,0,42,106,105,0,0,0,0,2,0,1.5019834224310164e-307,1.501995305711051e-307,0
1,11,0,39,154,153,40,0,0,2,2,0.105931981197912,1.6912136717954044e-306,1.9582211764281057e-306,0.90543976972269768
1,12,0,152,41,40,153,0,0,2,2,0.73292410015419407,9.3460979024834349e-307,1.6911905830720643e-306,0.4303342014760605
1,13,0,40,154,153,0,39,0,2,2,0.99999999923215677,2.2252741769303598e-307,4.00541475013594e-307,0.90543976972269768
1,14,0,40,153,152,41,0,0,2,2,0,8.9009541130235433e-307,1.6911905830720653e-306,0.43033420245635839
1,15,0,42,162,161,162,43,42,2,2,0,1.780190822708324e-306,1.6911905830720447e-306,1.0488857807868071
1,16,0,161,43,42,43,162,161,2,2,-0,4.0053807979442582e-307,3.4490070805388613e-307,1.0488857807868071
1,17,0,43,167,172,44,0,0,2,2,0.37356152951684263,4.4506103183784886e-308,9.346043578355087e-307,0.97441151054018582
1,18,0,172,45,44,167,0,0,2,2,0.99999999458231448,6.9535849870070048e-308,1.3351156150643456e-306,2.0655332021231032e-09
1,19,0,172,44,43,167,0,0,2,2,0,7.5660388151597048e-307,8.344515035945973e-308,0.9744115111028554
