step,contact,m0_0,m0_1,m0_2,o3,o4,o5,o0,o1,o2
1,1,2,0,2,7.5660116542352431e-307,1.6912041649019805e-306,0.38125749130017106,0,0,0.99999999458231448
1,2,2,0,2,1.2461113028850622e-306,1.6911905830720608e-306,0,0,0,0
1,3,2,0,2,1.6980110850751408e-312,-9.0802248174423567e+56,0.38125749130017106,0,0,0
1,4,2,0,2,1.6911240373669469e-306,1.6911905830720447e-306,1.4931121245363657,0,0,-0
1,5,2,0,2,0,0,1.4931121245363657,0,0,0
1,6,2,0,2,0,0,1.180946344925621,0,0,0.73292410015419407
1,7,2,0,2,0,0,0.18200274506858388,0,0,0.99999997622641557
1,8,2,0,2,0,0,1.180946344925621,0,0,-0
1,9,2,0,2,0,0,0.18200274506858388,0,0,0.99999997622641557
1,10,0,0,2,0,0,0,0,0,0
1,11,2,0,2,9.3460979024834349e-307,1.6911905830720643e-306,0.90543976972269768,0,0,0.105931981197912
1,12,2,0,2,1.6912136717954044e-306,1.9582211764281057e-306,0.4303342014760605,0,0,0.73292410015419407
1,13,2,0,2,1.0013783030478139e-307,1.780190822708324e-306,0.90543976972269768,0,0,0.99999999923215677
1,14,2,0,2,0,0,0.43033420245635839,0,0,0
1,15,2,0,2,0,0,1.0488857807868071,0,0,0
1,16,2,0,2,0,0,1.0488857807868071,0,0,-0
1,17,2,0,2,0,0,0.97441151054018582,0,0,0.37356152951684263
1,18,2,0,2,0,0,2.0655332021231032e-09,0,0,0.99999999458231448
1,19,2,0,2,0,0,0.9744115111028554,0,0,0
1,20,2,0,2,0,0,0.90429591704568701,0,0,0
1,21,2,0,2,0,0,0.90429591704568701,0,0,-0
1,22,2,0,2,0,0,0.93107401612311935,0,0,0.35338630059434412
1,23,2,0,2,0,0,0.93107401617457031,0,0,0.056659031055712336
1,24,2,0,2,0,0,0.5088491048669388,0,0,0.35338630059434412
1,25,2,0,2,0,0,0.50884910484180146,0,0,0.39672806989082837
1,26,2,0,2,0,0,1.1278773345612545,0,0,-0
1,27,2,0,2,0,0,1.1278773345612545,0,0,0
1,28,2,0,2,0,0,0.51780864545384886,0,0,0
1,29,2,0,2,0,0,0.51780864545384886,0,0,-0
1,30,2,0,2,0,0,0.41645258162904936,0,0,-0
1,31,2,0,2,0,0,0.41645258162904936,0,0,0
1,32,2,0,2,0,0,0.10727934198227057,0,0,0
1,33,2,0,2,0,0,0.10727934198227057,0,0,0.105931981197912
1,34,2,0,2,0,0,0.70559046016262161,0,0,0
1,35,2,0,2,0,0,0.70559046016262161,0,0,-0
1,36,2,0,2,0,0,1.4737505705609584,0,0,-0
1,37,2,0,2,0,0,1.4737505705609584,0,0,0
1,38,2,0,2,0,0,0.75189377472273589,0,0,0.41509443247994732
1,39,0,0,2,0,0,0,0,0,0.99999997622641557
1,40,2,0,2,0,0,0.75189377542559166,0,0,0
1,41,2,0,2,0,0,0.53360223818920616,0,0,-0
1,42,2,0,2,0,0,0.53360223818920616,0,0,0.41509443247994732
1,43,2,0,2,0,0,0.71839673040441243,0,0,-0
1,44,2,0,2,0,0,0.71839673040441243,0,0,0
1,45,2,0,2,0,0,0.05592224520483946,0,0,0.99999974818526183
1,46,2,0,2,0,0,0.66424769417176022,0,0,0
1,47,0,0,3,0,0,0,0,0,0
1,48,2,0,2,0,0,0.50990195058707111,0,0,0.99999999697115383
1,49,2,0,2,0,0,0.66424769417176022,0,0,-0
1,50,2,0,2,0,0,0.50990195058707111,0,0,-0
1,51,2,0,2,0,0,0.77376521770473106,0,0,0.39672806989082837
1,52,2,0,2,0,0,0.77376521839880463,0,0,0
1,53,2,0,2,0,0,0.58106689099822839,0,0,-0
1,54,2,0,2,0,0,0.58106689099822839,0,0,0.37356152951684263
1,1,2,2,1,-0.0010150185410266702,0.0017351655301508725,0.38125749130017106,0,0,0.99999999458231448
1,2,2,2,1,-0.0010540574950680991,0.0017117273474282569,0,0,0,0
1,3,2,2,1,-0.00078690461852568656,0.0015877932887538384,0.38125749130017106,0,0,0
1,4,2,2,2,-0.0025450419359843825,0.0021886425845954256,1.4931121245363657,0,0,-0
1,5,2,2,2,-0.00018898311323670844,-0.00091715967056345488,1.4931121245363657,0,0,0
1,6,2,2,1,-0.0027530343361605964,0.0030909191130699949,1.180946344925621,0,0,0.73292410015419407
1,7,2,2,1,-0.0014176375196688336,0.0018627073501348216,0.18200274506858388,0,0,0.99999997622641557
1,8,2,2,1,-0.0021283500961176414,0.00097440671579496056,1.180946344925621,0,0,-0
1,9,2,2,1,-0.0014093724375254706,0.00089904515825536824,0.18200274506858388,0,0,0.99999997622641557
1,10,0,2,2,-0.0016692702559167234,9.0188905276625321e-05,0,0,0,0
1,11,2,2,1,-0.0013716973493755765,0.0026566920929947868,0.90543976972269768,0,0,0.105931981197912
1,12,2,2,1,-0.00058262946699148702,0.00071506903604075234,0.4303342014760605,0,0,0.73292410015419407
1,13,2,2,1,-0.00072560209552844116,0.0012221540816690834,0.90543976972269768,0,0,0.99999999923215677
1,14,2,2,1,-0.00079045620790553993,0.0011812426400026332,0.43033420245635839,0,0,0
1,15,2,2,2,-0.0011437534529455688,-0.00034593039227786312,1.0488857807868071,0,0,0
1,16,2,2,2,-0.0026019417166317726,-0.00081347785797202985,1.0488857807868071,0,0,-0
1,17,2,2,0,0.0012042898412804135,0,0.97441151054018582,0,0,0.37356152951684263
1,18,2,2,2,-0.0010927031681269605,0.0004219670377998586,2.0655332021231032e-09,0,0,0.99999999458231448
1,19,2,2,2,-0.0011019798246849585,0.00039710624919318761,0.9744115111028554,0,0,0
1,20,2,2,0,0.00048649450826569729,0,0.90429591704568701,0,0,0
1,21,2,2,1,-9.7551710954973023e-05,-0.0017997891154354598,0.90429591704568701,0,0,-0
1,22,2,2,1,-0.00087859879277577327,0.00065001661890487484,0.93107401612311935,0,0,0.35338630059434412
1,23,2,2,1,-0.0023622130880204357,0.0030493011642324869,0.93107401617457031,0,0,0.056659031055712336
1,24,2,2,1,-0.00032736286681018449,0.0016643573530826295,0.5088491048669388,0,0,0.35338630059434412
1,25,2,2,1,-0.0028879615704362573,0.0033921277169261031,0.50884910484180146,0,0,0.39672806989082837
1,26,2,2,2,-0.0044156233886438129,0.0018671309066478211,1.1278773345612545,0,0,-0
1,27,2,2,2,-0.0010457499941652782,0.00068828540526277078,1.1278773345612545,0,0,0
1,28,2,2,2,-0.00073293891396971397,0.0010923944937565285,0.51780864545384886,0,0,0
1,29,2,2,2,0.0013035879800494343,0.00057374316907464452,0.51780864545384886,0,0,-0
1,30,2,2,1,-0.00011563572949218106,0.00040502472869968857,0.41645258162904936,0,0,-0
1,31,2,2,1,-0.00019314472375594894,0.00030935332258052799,0.41645258162904936,0,0,0
1,32,2,2,1,-0.0019844822411470343,0.0018751508843451127,0.10727934198227057,0,0,0
1,33,2,2,1,-0.0019707114423585721,0.0019369153256533675,0.10727934198227057,0,0,0.105931981197912
1,34,2,2,2,-0.0017786464103069968,0.00090095139069338757,0.70559046016262161,0,0,0
1,35,2,2,2,-0.0004354713993666083,0.00026521441455326444,0.70559046016262161,0,0,-0
1,36,2,2,2,-0.0031832094953618321,0.000471697141470149,1.4737505705609584,0,0,-0
1,37,2,2,2,-0.0059840827832038602,0.0017050033814243434,1.4737505705609584,0,0,0
1,38,2,2,0,0.0001736528436522481,0,0.75189377472273589,0,0,0.41509443247994732
1,39,0,2,2,-0.00063138603799207146,-7.9151272960366856e-06,0,0,0,0.99999997622641557
1,40,2,2,1,-0.00054595488466490608,-0.00031724498400581921,0.75189377542559166,0,0,0
1,41,2,2,1,-0.00010778826788254466,4.9390673914027908e-05,0.53360223818920616,0,0,-0
1,42,2,2,0,1.5939629492262407e-06,0,0.53360223818920616,0,0,0.41509443247994732
1,43,2,2,2,-0.001887233713863723,0.0013624358337711643,0.71839673040441243,0,0,-0
1,44,2,2,2,-0.0004359640085849085,0.0010689637759559415,0.71839673040441243,0,0,0
1,45,2,2,1,-0.0013114500193724555,0.0028277707216158355,0.05592224520483946,0,0,0.99999974818526183
1,46,2,2,1,-0.0025059234861898295,0.0018537466634544876,0.66424769417176022,0,0,0
1,47,0,3,3,-0.0010213147763267528,0,0,0,0,0
1,48,2,2,1,-0.0011066825824818871,0.00096152576961782722,0.50990195058707111,0,0,0.99999999697115383
1,49,2,2,1,-0.0013075562026688332,0.00066299998276908838,0.66424769417176022,0,0,-0
1,50,2,2,1,-0.0023571746561767979,0.0012032222568584927,0.50990195058707111,0,0,-0
1,51,2,2,1,-0.0001210970195122766,-0.00052301829436619677,0.77376521770473106,0,0,0.39672806989082837
1,52,2,2,1,-0.0030275970613746202,0.0031467256021314445,0.77376521839880463,0,0,0
1,53,2,2,1,-8.0178558765621924e-05,3.7345196442757097e-05,0.58106689099822839,0,0,-0
1,54,2,2,1,-0.0011890066393267259,0.0011851115517873831,0.58106689099822839,0,0,0.37356152951684263
2,1,0,0,1,-0.00097890089449837684,3.1500000000000002e-13,0.37979829165261081,-0.00097890089449837684,3.1500000000000002e-13,1.0046773331877663
2,2,0,0,1,-0.0010595269737056763,3.1500000000000002e-13,0.0017719978290373166,-0.0010595269737056763,3.1500000000000002e-13,0.0018182652655008684
2,3,0,0,1,-0.00073627589762329004,3.1500000000000002e-13,0.37979829165261081,-0.00073627589762329004,3.1500000000000002e-13,0.0039587082690300899
2,4,2,0,2,-0.0030860549820707294,0.0032266566982887997,1.4933363265957549,-0.0030860549820707294,0.0032266566982887997,-0
2,5,2,0,2,-0.00080735135305379832,0.00018927416804814031,1.4933370664500363,-0.00080735135305379832,0.00018927416804814031,0
2,6,0,0,1,-0.0030338670663980897,3.1500000000000002e-13,1.1831911808683129,-0.0030338670663980897,3.1500000000000002e-13,0.73502611542308693
2,7,0,0,1,-0.00060388452637362769,3.1500000000000002e-13,0.18093470619634811,-0.00060388452637362769,3.1500000000000002e-13,1.0095991011425762
2,8,0,0,1,-0.0021791274038539081,3.1500000000000002e-13,1.1831911808683129,-0.0021791274038539081,3.1500000000000002e-13,0.00086809051949157082
2,9,0,0,1,-0.00079095027186949036,3.1500000000000002e-13,0.18093488456665424,-0.00079095027186949036,3.1500000000000002e-13,1.0057037355301528
2,10,0,0,1,-0.001712680531834568,3.1500000000000002e-13,0,-0.001712680531834568,3.1500000000000002e-13,0.0009482773095796876
2,11,0,0,1,-0.0011374833017731333,3.1500000000000002e-13,0.90159091708337735,-0.0011374833017731333,3.1500000000000002e-13,0.11119884869054797
2,12,0,0,1,-0.0006921177060750152,3.1500000000000002e-13,0.4268405153954799,-0.0006921177060750152,3.1500000000000002e-13,0.73514982633524584
