step,oc_iter,contact,mtype,m0_0,m0_prev,m0_new,o3,o4,t3,w0
1,0,1,0,2,2,1,-0.0010150185410266702,0.0017351655301508725,0,3.1500000000000004
1,0,2,0,2,2,1,-0.0010540574950680991,0.0017117273474282569,0,3.1500000000000004
1,0,3,0,2,2,1,-0.00078690461852568656,0.0015877932887538384,0,3.1500000000000004
1,0,4,0,2,2,2,-0.0025450419359843825,0.0021886425845954256,1493.1121245363656,3.1500000000000004
1,0,5,0,2,2,2,-0.00018898311323670844,-0.00091715967056345488,1493.1121245363656,3.1500000000000004
1,0,6,0,2,2,1,-0.0027530343361605964,0.0030909191130699949,0,3.1500000000000004
1,0,7,0,2,2,1,-0.0014176375196688336,0.0018627073501348216,0,3.1500000000000004
1,0,8,0,2,2,1,-0.0021283500961176414,0.00097440671579496056,0,3.1500000000000004
1,0,9,0,2,2,1,-0.0014093724375254706,0.00089904515825536824,0,3.1500000000000004
1,0,10,0,0,2,2,-0.0016692702559167234,9.0188905276625321e-05,0,3.1500000000000004
1,0,11,0,2,2,1,-0.0013716973493755765,0.0026566920929947868,0,3.1500000000000004
1,0,12,0,2,2,1,-0.00058262946699148702,0.00071506903604075234,0,3.1500000000000004
1,0,13,0,2,2,1,-0.00072560209552844116,0.0012221540816690834,0,3.1500000000000004
1,0,14,0,2,2,1,-0.00079045620790553993,0.0011812426400026332,0,3.1500000000000004
1,0,15,0,2,2,2,-0.0011437534529455688,-0.00034593039227786312,1048.8857807868071,3.1500000000000004
1,0,16,0,2,2,2,-0.0026019417166317726,-0.00081347785797202985,1048.8857807868071,3.1500000000000004
1,0,17,0,2,2,0,0.0012042898412804135,0,0,3.1500000000000004
1,0,18,0,2,2,2,-0.0010927031681269605,0.0004219670377998586,0,3.1500000000000004
1,0,19,0,2,2,2,-0.0011019798246849585,0.00039710624919318761,0,3.1500000000000004
1,0,20,0,2,2,0,0.00048649450826569729,0,0,3.1500000000000004
1,0,21,0,2,2,1,-9.7551710954973023e-05,-0.0017997891154354598,0,3.1500000000000004
