step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,1,1,0,0,1,2,-0.00080721109926918137,-1.2377033141068198e-05,0,3.1500000000000004
2,1,2,0,0,1,2,-0.00088743498608930059,-8.5728651479641179e-06,0,3.1500000000000004
2,1,3,0,0,1,1,-0.00028035252870079532,0.00014082083724337209,0,3.1500000000000004
2,1,4,0,2,2,2,-0.0028298771046482603,0.0036431464941026888,1493.3363265957548,3.1500000000000004
2,1,5,0,2,2,2,-0.00086876591593542795,0.00044219005957037735,1493.3370664500362,3.1500000000000004
2,1,6,0,0,1,2,-0.0032814267851222854,-0.00064915252986669323,0,3.1500000000000004
2,1,7,0,0,1,2,-0.00052413611158384267,-0.00029480024090790561,0,3.1500000000000004
2,1,8,0,0,1,2,-0.0019691215789808428,-0.0002240544047295914,0,3.1500000000000004
2,1,9,0,0,1,2,-0.00054346106624176746,-0.00037798607904982969,0,3.1500000000000004
2,1,10,0,0,1,2,-0.0013104826344863354,-0.00020839145672069248,0,3.1500000000000004
2,1,11,0,0,1,2,-0.0012231405402622242,-0.00062419707357280632,0,3.1500000000000004
2,1,12,0,0,1,2,-0.00073090379605901068,-0.00044657315392339413,0,3.1500000000000004
2,1,13,0,0,1,2,-0.00056041643189410207,-0.00052323750558715457,0,3.1500000000000004
2,1,14,0,0,1,2,-0.00096544778503829948,-0.00052613776766337068,0,3.1500000000000004
2,1,15,0,2,2,2,-0.001280077509867156,0.00048675827805123092,1048.9694403354329,3.1500000000000004
2,1,16,0,2,2,2,-0.0029727188069998368,-0.0002172700139391925,1049.2193221225846,3.1500000000000004
2,1,17,0,0,0,0,0.00096361972334953042,0,0,3.1500000000000004
2,1,18,0,0,1,1,-0.00078617807133890148,0.00060612701302484437,0,3.1500000000000004
2,1,19,0,0,1,1,-0.00082602415939784721,0.0006120137057890984,0,3.1500000000000004
2,1,20,0,0,0,0,0.00045676899803123592,0,0,3.1500000000000004
2,1,21,0,0,1,0,7.2697839277136516e-05,-3.1500000000000002e-13,0,3.1500000000000004
