step,row_block,z1,z2,z3,z4,z5,z6
1,1,-0.0004684890554622041,1.3673996721576565e-05,9.4976562415971054e-06,0.00065600284756136954,9.5520309491216082e-05,-0.00012260967633994938
1,2,-0.0023704242935446013,0.00087124303623853263,0.0007736163053949066,0.0018028208193124726,0.00087893282487845159,-0.0029554021702217314
1,3,-0.0004276553687042944,0.00045694734548169276,0.0022019315519910161,0.0016047315320452124,0.005872230464883053,-0.0075569028397822497
1,4,0.00012395164482202875,0.00072973346674139595,0.002047925372312266,-0.00099377587343579886,0.0021519230391932485,-0.00070636428833782228
1,5,0.00087826305894205372,-0.00027030524284132109,0.00069164249846729361,0.0013064875268643966,0.00060950195014741835,-0.0021903709043017525
1,6,6.7650105938093805e-05,6.0270846066851979e-05,0.00099809831325325948,0.00053828264960737425,0.0036153484360852382,-0.0036646901325039457
1,7,-0.0003139828091824948,-0.00018025215436022967,-0.0012236849309199289,0.0011131446260592909,-0.00033377268232081549,0.0014896702792942882
1,8,-0.001300430260204811,-0.00054183492009573001,-0.00072093319565452534,0.00012328953315954874,-0.00053304603010843107,0.00078505435052923464
1,9,-0.0022923061519475765,0.0006601535262171197,0.0012992043585144126,0.001703824271413322,0.0013444066361005035,-0.0043158173836765051
1,10,-0.00086865653176296188,5.7352241636607048e-05,-1.7537851364978599e-05,0.00091593691530107864,6.9901218711719844e-05,-0.00014579529701372497
1,11,0.00048113138114081226,-0.0010554841364711195,0.00010767801750930948,-0.0001917218148157882,-0.0001463417834288676,0.0013966474794340979
1,1,-0.00033919632011260699,6.2239671191806871e-05,-2.1680610293461213e-05,0.00048441347056569632,9.6907054537857465e-05,-0.00018974447698478497
1,2,-0.0037357259654842495,0.00062157825130306139,0.0015109149225708133,0.0028301671730172851,0.00065326445267550252,-0.0040310693229029249
1,3,-0.00071021135053922642,0.00044279817264908459,0.0045761976795075376,0.0028451714046494013,0.0057208351028129011,-0.012215168504529321
1,4,0.00059886366179920532,0.00069927668012133683,0.004095379784068153,-0.0024715000398409862,0.0024246165887312275,-0.0045902661923611227
1,5,0.00059243715187697814,-0.00028684419158667227,0.00041389915305803214,0.00089165233423562599,0.00064525984922227792,-0.0016825470676519599
1,6,1.441884019651937e-05,5.1354609207271557e-06,0.002405331834553708,0.001174737192740705,0.0033753060318757414,-0.0062814534943096256
1,7,0.00062835861614112226,-0.00020634501937032097,-0.00081698246197968232,0.0015309330196344229,-0.00025952530131191122,0.00073741643235093746
1,8,-0.0011643621009311302,-0.00058241689972581044,-0.00061164672139222523,9.6129086370591059e-05,-0.0005320324908681095,0.00072186220860297515
1,9,-0.0058990416352825564,-0.000178331613173761,0.0035826057473610996,0.0029976376935218888,0.00030556858649879721,-0.0081693567505787268
1,10,-0.0011172487216388465,7.875198479922942e-07,1.1800115593977999e-05,0.0011669901497309999,7.2260361886084131e-05,-8.9078255851024181e-05
1,11,3.4997735189820633e-05,-0.0013218435241591203,0.00089514044278095339,-0.00028924447942498574,-0.0008373910111956458,-0.0001385347963279264
2,1,4.9272737671122154e-07,7.3520700726675786e-07,-2.8398346413816235e-07,-6.1321422296608813e-07,3.4147438299118521e-07,-1.4374773451153156e-06
2,2,-7.9325712521863265e-05,7.4949978648156915e-05,1.2009896115146676e-05,5.5688966903488623e-05,6.9499488911747858e-05,-0.00012523953493709099
2,3,3.5939073403875137e-06,3.6772283767543154e-05,-0.00024707866471353429,-0.00010237064465339001,0.00020767996887015769,0.0003620674742586413
2,4,-0.00020944062537070357,0.00011029465113057673,-0.00035398854567619055,0.00015804930212355862,-0.00014011913761603637,0.00078764601562965753
2,5,0.00033568336878433123,8.5383765377248605e-05,0.0003877680477498287,0.00049054912522563624,-0.00015960258140367291,-0.00052447317002027652
2,6,0.00010854027869230329,1.6926892072868845e-05,9.0273805967753347e-05,-5.1905485265510485e-05,0.00053581424120915802,-0.00044007033856071557
2,7,-0.00032483192813113578,-0.00038137127944691762,-0.00032604876959674728,1.6251316609908883e-06,0.0003134750354610446,0.0003039410641315105
2,8,-0.00036449446707249395,-0.00030046876500859415,-4.2173957149425552e-05,9.2988697053290683e-05,-0.00051349832604821169,0.0006996095496156372
2,9,-0.00024119565026091725,-0.00013502454626318258,0.00029982096641013346,0.00015710045423045487,-0.00034138002483703414,-8.8172802798879276e-05
2,10,-8.8930120447760182e-05,3.5414604011787963e-05,-2.1123411302144958e-05,8.9490699388155217e-05,-5.6827070952188554e-06,-2.8505472013941749e-05
2,11,5.8059134137637583e-05,-6.9528614199655913e-05,0.00027927660684241894,-0.00019839464690031062,3.5180848696430731e-05,-0.00041855008942204763
2,1,3.0442377002149013e-05,1.2676878611441221e-05,-7.59830028231421e-06,-4.0358570307375092e-05,6.264127013228436e-07,-1.8670512863867479e-05
2,2,-0.00050542175742075799,-1.372688374417391e-05,0.00024479876493221496,0.00037164696203784132,-1.113534134663603e-05,-0.00044982914353693771
