step,constraint,computed,input,error
9,6,0.001281533367,0.000936,0.0003455333666
10,1,0.002939979028,0.0039,-0.0009600209717
10,2,0.00137880653,0.00234,-0.0009611934696
10,3,0.001599285727,0.00156,3.928572703e-05
10,4,0.009291733621,0.0091,0.0001917336206
10,5,-0.006174569652,-0.00798,0.001805430348
10,6,0.001392846311,0.00104,0.0003528463109
11,1,0.003247576239,0.00429,-0.001042423761
11,2,0.001492333008,0.002574,-0.001081666992
11,3,0.00174744079,0.001716,3.14407902e-05
11,4,0.01019624364,0.01001,0.0001862436387
11,5,-0.006736559138,-0.008778,0.002041440862
11,6,0.001498243669,0.001144,0.0003542436694
12,1,0.003556694495,0.00468,-0.001123305505
12,2,0.001601920487,0.002808,-0.001206079513
12,3,0.00189542137,0.001872,2.342136977e-05
12,4,0.01109789888,0.01092,0.0001778988771
12,5,-0.007291788515,-0.009576,0.002284211485
12,6,0.001596608309,0.001248,0.0003486083091
13,1,0.003866641053,0.00507,-0.001203358947
13,2,0.001708007147,0.003042,-0.001333992853
13,3,0.002041915231,0.002028,1.391523123e-05
13,4,0.01199690524,0.01183,0.00016690524
13,5,-0.007840969747,-0.010374,0.002533030253
13,6,0.001689390123,0.001352,0.0003373901231
14,1,0.004177280367,0.00546,-0.001282719633
14,2,0.001811219155,0.003276,-0.001464780845
14,3,0.002186869113,0.002184,2.869113344e-06
14,4,0.01289337642,0.01274,0.0001533764212
14,5,-0.00838453421,-0.011172,0.00278746579
14,6,0.001777652229,0.001456,0.000321652229
15,1,0.004488490596,0.00585,-0.001361509404
15,2,0.001911811583,0.00351,-0.001598188417
15,3,0.002330385468,0.00234,-9.614531637e-06
15,4,0.01378728047,0.01365,0.0001372804703
15,5,-0.008922539309,-0.01197,0.003047460691
15,6,0.001861574836,0.00156,0.0003015748364
16,1,0.004800379538,0.00624,-0.001439620462
16,2,0.002009721345,0.003744,-0.001734278655
16,3,0.002471268047,0.002496,-2.473195333e-05
16,4,0.01467906287,0.01456,0.0001190628712
16,5,-0.009455765902,-0.012768,0.003312234098
16,6,0.001942732721,0.001664,0.0002787327206
17,1,0.005112288175,0.00663,-0.001517711825
17,2,0.002107171911,0.003978,-0.001870828089
17,3,0.002608725932,0.002652,-4.327406768e-05
17,4,0.01556947321,0.01547,9.947320674e-05
17,5,-0.009984797485,-0.013566,0.003581202515
17,6,0.002023924989,0.001768,0.0002559249893
18,1,0.005424462569,0.00702,-0.001595537431
18,2,0.002203188774,0.004212,-0.002008811226
18,3,0.002743731045,0.002808,-6.426895535e-05
18,4,0.01645793829,0.01638,7.793829429e-05
18,5,-0.01050924854,-0.014364,0.003854751457
18,6,0.002103361657,0.001872,0.0002313616569
19,1,0.00573693682,0.00741,-0.00167306318
19,2,0.002297611762,0.004446,-0.002148388238
19,3,0.002876632176,0.002964,-8.73678238e-05
19,4,0.01734431864,0.01729,5.431863628e-05
19,5,-0.01102897261,-0.015162,0.004133027387
19,6,0.002180517717,0.001976,0.0002045177171
20,1,0.006050188033,0.0078,-0.001749811967
20,2,0.002390068995,0.00468,-0.002289931005
20,3,0.003006910252,0.00312,-0.0001130897479
20,4,0.01822898916,0.0182,2.898916455e-05
20,5,-0.01154397467,-0.01596,0.004416025331
20,6,0.002255683639,0.00208,0.0001756836392
21,1,0.006364121229,0.00819,-0.001825878771
21,2,0.002480913844,0.004914,-0.002433086156
21,3,0.003134506826,0.003276,-0.000141493174
21,4,0.01911207089,0.01911,2.070891783e-06
21,5,-0.01205450674,-0.016758,0.004703493262
21,6,0.002329405757,0.002184,0.0001454057572
22,1,0.006678672837,0.00858,-0.001901327163
22,2,0.002570031472,0.005148,-0.002577968528
22,3,0.003259672254,0.003432,-0.0001723277463
22,4,0.01999341074,0.02002,-2.658926473e-05
22,5,-0.01256051913,-0.017556,0.004995480871
22,6,0.002401291588,0.002288,0.0001132915883
23,1,0.006993816634,0.00897,-0.001976183366
23,2,0.002657478669,0.005382,-0.002724521331
23,3,0.003382452683,0.003588,-0.0002055473171
23,4,0.02087300801,0.02093,-5.699198941e-05
23,5,-0.0130620608,-0.018354,0.005291939204
23,6,0.002471387316,0.002392,7.938731558e-05
24,1,0.007309531032,0.00936,-0.002050468968
24,2,0.002743305645,0.005616,-0.002872694355
24,3,0.0035028824,0.003744,-0.0002411176001
24,4,0.0217508682,0.02184,-8.913180247e-05
24,5,-0.01355918703,-0.019152,0.005592812967
24,6,0.002539748143,0.002496,4.374814332e-05
25,1,0.007625795192,0.00975,-0.002124204808
25,2,0.002827558151,0.00585,-0.003022441849
25,3,0.003620994682,0.0039,-0.000279005318
25,4,0.02262699606,0.02275,-0.0001230039402
25,5,-0.01405195046,-0.01995,0.005898049538
25,6,0.002606423124,0.0026,6.423123962e-06
26,1,0.007942588622,0.01014,-0.002197411378
26,2,0.002910281087,0.006084,-0.003173718913
26,3,0.003736822413,0.004056,-0.0003191775871
26,4,0.02350139637,0.02366,-0.0001586036323
26,5,-0.01454040291,-0.020748,0.00620759709
26,6,0.002671460181,0.002704,-3.253981901e-05
27,1,0.008259891219,0.01053,-0.002270108781
27,2,0.002991518347,0.006318,-0.003326481653
27,3,0.003850397918,0.004212,-0.0003616020817
27,4,0.02437407394,0.02457,-0.0001959260606
27,5,-0.0150245954,-0.021546,0.006521404598
27,6,0.002734906052,0.002808,-7.309394834e-05
28,1,0.008577683127,0.01092,-0.002342316873
28,2,0.003071312918,0.006552,-0.003480687082
28,3,0.003961752992,0.004368,-0.0004062470075
28,4,0.02524503363,0.02548,-0.0002349663662
28,5,-0.01550457825,-0.022344,0.006839421746
28,6,0.002796806312,0.002912,-0.0001151936885
29,1,0.00889594504,0.01131,-0.00241405496
29,2,0.003149706661,0.006786,-0.003636293339
29,3,0.00407091884,0.004524,-0.0004530811602
29,4,0.02611428035,0.02639,-0.0002757196461
29,5,-0.01598040088,-0.023142,0.007161599123
29,6,0.002857205349,0.003016,-0.0001587946508
30,1,0.009214657977,0.0117,-0.002485342023
30,2,0.003226740574,0.00702,-0.003793259426
30,3,0.004177926212,0.00468,-0.0005020737875
30,4,0.02698181903,0.0273,-0.0003181809686
30,5,-0.01645211194,-0.02394,0.007487888055
30,6,0.002916146464,0.00312,-0.0002038535359
31,1,0.009533801377,0.01209,-0.002556198623
31,2,0.003302430857,0.007254,-0.003951569143
31,3,0.004282821584,0.004836,-0.0005531784159
31,4,0.02784764222,0.02821,-0.0003623577758
31,5,-0.01691975221,-0.024738,0.007818247786
31,6,0.00297362556,0.003224,-0.0002503744396
32,1,0.009853270897,0.01248,-0.002626729103
32,2,0.003376877614,0.007488,-0.004111122386
32,3,0.004385594123,0.004992,-0.0006064058768
32,4,0.02871177345,0.02912,-0.0004082265537
32,5,-0.01738342649,-0.025536,0.008152573505
32,6,0.003029726162,0.003328,-0.0002982738382
33,1,0.01017317081,0.01287,-0.002696829192
33,2,0.003450022499,0.007722,-0.004271977501
33,3,0.004486251174,0.005148,-0.0006617488258
33,4,0.02957422608,0.03003,-0.0004557739249
33,5,-0.01784310782,-0.026334,0.008490892184
33,6,0.003084465223,0.003432,-0.000347534777
34,1,0.0104934469,0.01326,-0.002766553104
34,2,0.003521971071,0.007956,-0.004434028929
34,3,0.00458486974,0.005304,-0.0007191302598
34,4,0.03043499415,0.03094,-0.0005050058523
34,5,-0.01829886875,-0.027132,0.008833131251
34,6,0.003137915951,0.003536,-0.0003980840489
35,1,0.01081408271,0.01365,-0.002835917289
35,2,0.003592756532,0.00819,-0.004597243468
35,3,0.004681475458,0.00546,-0.000778524542
35,4,0.03129408336,0.03185,-0.0005559166399
35,5,-0.01875075568,-0.02793,0.009179244317
35,6,0.003190116168,0.00364,-0.0004498838316
36,1,0.01113506122,0.01404,-0.002904938778
36,2,0.003662414756,0.008424,-0.004761585244
36,3,0.004776096128,0.005616,-0.0008399038716
36,4,0.03215149912,0.03276,-0.0006085008755
36,5,-0.01919881327,-0.028728,0.00952918673
36,6,0.003241103066,0.003744,-0.000502896934
37,1,0.01145631438,0.01443,-0.002973685619
37,2,0.003730858091,0.008658,-0.004927141909
37,3,0.004868992471,0.005772,-0.0009030075288
37,4,0.03300709137,0.03367,-0.0006629086335
37,5,-0.01964298162,-0.029526,0.009883018381
37,6,0.003290498905,0.003848,-0.0005575010947
38,1,0.0117779316,0.01482,-0.003042068401
38,2,0.003798381307,0.008892,-0.005093618693
38,3,0.004959739972,0.005928,-0.0009682600281
38,4,0.03386117735,0.03458,-0.0007188226539
38,5,-0.02008352141,-0.030324,0.01024047859
38,6,0.00333918641,0.003952,-0.0006128135904
39,1,0.01209980921,0.01521,-0.003110190786
39,2,0.00386467388,0.009126,-0.00526132612
39,3,0.005048700205,0.006084,-0.001035299795
39,4,0.03471349495,0.03549,-0.0007765050488
39,5,-0.02052024652,-0.031122,0.01060175348
39,6,0.003386320315,0.004056,-0.0006696796848
40,1,0.01242200188,0.0156,-0.003177998123
40,2,0.003930121033,0.00936,-0.005429878967
40,3,0.005135588612,0.00624,-0.001104411388
40,4,0.03556431553,0.0364,-0.0008356844689
40,5,-0.02095343577,-0.03192,0.01096656423
40,6,0.003432787116,0.00416,-0.0007272128836
41,1,0.01274445209,0.01599,-0.003245547908
41,2,0.003994613584,0.009594,-0.005599386416
41,3,0.005220630123,0.006396,-0.001175369877
41,4,0.0364135062,0.03731,-0.0008964937973
41,5,-0.02138303845,-0.032718,0.01133496155
41,6,0.003478220718,0.004264,-0.0007857792818
42,1,0.01306714243,0.01638,-0.003312857574
42,2,0.004058187518,0.009828,-0.005769812482
42,3,0.005303856528,0.006552,-0.001248143472
42,4,0.03726106817,0.03822,-0.0009589318282
42,5,-0.02180908842,-0.033516,0.01170691158
42,6,0.003522647525,0.004368,-0.0008453524752
43,1,0.01339005838,0.01677,-0.003379941625
43,2,0.004120872812,0.010062,-0.005941127188
43,3,0.00538529303,0.006708,-0.00132270697
43,4,0.03810700619,0.03913,-0.001022993809
43,5,-0.02223162515,-0.034314,0.01208237485
43,6,0.003566098024,0.004472,-0.0009059019757
44,1,0.01371318566,0.01716,-0.003446814342
44,2,0.004182698872,0.010296,-0.006113301128
44,3,0.005464963794,0.006864,-0.001399036206
44,4,0.03895132537,0.04004,-0.001088674626
44,5,-0.02265068737,-0.035112,0.01246131263
44,6,0.003608602145,0.004576,-0.0009673978553
45,1,0.01403651028,0.01755,-0.003513489723
45,2,0.004243694393,0.01053,-0.006286305607
45,3,0.005542892616,0.00702,-0.001477107384
45,4,0.03979403084,0.04095,-0.00115596916
45,5,-0.02306631327,-0.03591,0.01284368673
45,6,0.003650189006,0.00468,-0.001029810994
46,1,0.0143600185,0.01794,-0.003579981499
46,2,0.004303887422,0.010764,-0.006460112578
46,3,0.005619102913,0.007176,-0.001556897087
46,4,0.04063512772,0.04186,-0.001224872276
46,5,-0.02347854046,-0.036708,0.01322945954
46,6,0.003690886991,0.004784,-0.001093113009
47,1,0.01468369685,0.01833,-0.003646303146
47,2,0.004363305373,0.010998,-0.006634694627
47,3,0.005693617741,0.007332,-0.001638382259
47,4,0.04147462117,0.04277,-0.001295378827
47,5,-0.02388740603,-0.037506,0.01361859397
47,6,0.003730723762,0.004888,-0.001157276238
48,1,0.01500753212,0.01872,-0.003712467883
48,2,0.004421975043,0.011232,-0.006810024957
48,3,0.005766459795,0.007488,-0.001721540205
48,4,0.04231251635,0.04368,-0.001367483652
48,5,-0.02429294652,-0.038304,0.01401105348
48,6,0.003769726271,0.004992,-0.001222273729
49,1,0.01533151132,0.01911,-0.003778488683
49,2,0.004479922623,0.011466,-0.006986077377
49,3,0.00583765142,0.007644,-0.00180634858
49,4,0.04314881842,0.04459,-0.001441181581
49,5,-0.02469519795,-0.039102,0.01440680205
49,6,0.00380792078,0.005096,-0.00128807922
50,1,0.01565562173,0.0195,-0.003844378273
50,2,0.004537173713,0.0117,-0.007162826287
50,3,0.005907214618,0.0078,-0.001892785382
50,4,0.04398353256,0.0455,-0.001516467436
50,5,-0.02509419581,-0.0399,0.01480580419
50,6,0.003845332879,0.0052,-0.001354667121
