step,block,vidx,x,y
1,1,0,0,8.4000000000000004
1,1,1,0,0
1,1,2,8,0
1,1,3,8,0.40000000000000002
1,1,4,0,8.4000000000000004
1,1,5,0,0
1,2,8,1.060660172,8.0464466090000002
1,2,9,0.70710678120000003,7.6928932190000001
1,2,10,2.1213203439999999,6.2786796560000004
1,2,11,2.474873734,6.6322330469999997
1,2,12,1.060660172,8.0464466090000002
1,2,13,0.70710678120000003,7.6928932190000001
2,1,0,-2.8866419704468223e-07,8.3999992671628743
2,1,1,7.7565936922281237e-08,1.9784767033714268e-07
2,1,2,8.0000000103049,2.4874725899086495e-08
2,1,3,7.9999999928653702,0.39999998055640218
2,1,4,-2.8866419704468223e-07,8.3999992671628743
2,1,5,7.7565936922281237e-08,1.9784767033714268e-07
2,2,8,1.0606632019295883,8.0463237558366938
2,2,9,0.70711119666905931,7.6927873580679442
2,2,10,2.1213245247235544,6.2785708463804655
2,2,11,2.4748765291840837,6.6321072451492098
2,2,12,1.0606632019295883,8.0463237558366938
2,2,13,0.70711119666905931,7.6927873580679442
3,1,0,-1.394481399228684e-06,8.3999963480049367
3,1,1,2.8988008108863758e-07,7.7077741268794481e-07
3,1,2,8.0000000090624415,2.1033477693612077e-08
3,1,3,7.9999999288547512,0.39999981042526445
3,1,4,-1.394481399228684e-06,8.3999963480049367
3,1,5,2.8988008108863758e-07,7.7077741268794481e-07
3,2,8,1.0606853955917499,8.0459776023859053
3,2,9,0.7071312809965824,7.6925051622661771
3,2,10,2.1213421461267723,6.2782710303620277
3,2,11,2.4748962599219428,6.6317434714817418
3,2,12,1.0606853955917499,8.0459776023859053
3,2,13,0.7071312809965824,7.6925051622661771
4,1,0,-3.2728764318834827e-06,8.3999909690494334
4,1,1,4.3793679552048786e-07,1.2839105750413717e-06
4,1,2,7.999999920904445,-2.0004750708633193e-07
4,1,3,7.9999997441990542,0.39999930876862894
4,1,4,-3.2728764318834827e-06,8.3999909690494334
4,1,5,4.3793679552048786e-07,1.2839105750413717e-06
4,2,8,1.0607567942703673,8.0454744911177016
4,2,9,0.70718308278411035,7.6921148929020751
4,2,10,2.1213837022725639,6.2778311276868237
4,2,11,2.4749574129588359,6.6311907269024353
4,2,12,1.0607567942703673,8.0454744911177016
4,2,13,0.70718308278411035,7.6921148929020751
5,1,0,-5.1715664983933282e-06,8.3999844098495231
5,1,1,3.08428541693141e-07,1.2354802932304235e-06
5,1,2,7.9999997363297704,-6.791813616202685e-07
5,1,3,7.9999994753776269,0.39999851959812538
5,1,4,-5.1715664983933282e-06,8.3999844098495231
5,1,5,3.08428541693141e-07,1.2354802932304235e-06
5,2,8,1.060904429210848,8.0449018730641164
5,2,9,0.70728782950580038,7.6916811502640954
5,2,10,2.1214635673232665,6.2773077030903321
5,2,11,2.4750801662283575,6.6305284268903559
5,2,12,1.060904429210848,8.0449018730641164
5,2,13,0.70728782950580038,7.6916811502640954
6,1,0,-6.2409191952709592e-06,8.3999781752914444
6,1,1,-1.7140315704990748e-09,8.3329911215462829e-07
6,1,2,7.9999995513580222,-1.2183750380168197e-06
6,1,3,7.9999992542530158,0.39999770267221579
