step,contact,mtype,p1,p2,p3,m4,m5,m6,m0_0,m0_2,o2,o3,o4,o5
1,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,1.780190822708324e-306,1.6911905830720447e-306,1.0000000003553515
1,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,1.6911321858100616e-306,1.6911905830720447e-306,1.0000000003553515
2,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,-7.1072522379618416e-05,7.7690072032595962e-05,1.0000009598786661
2,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-7.3448056239393885e-05,7.9663305229397353e-05,1.0000009598786661
3,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,-0.00025380449100068168,0.00029025763991687419,1.000006318788341
3,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-0.00027085480526629327,0.00030316449035822687,1.000006318788341
4,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,-0.00048841743932646572,0.00060056841407773705,1.0000202444137802
4,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-0.00054862996059500525,0.0006417328118099114,1.0000202444137802
5,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,-0.00071553655088841921,0.00097829495323116934,1.0000431547136315
5,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-0.00085768283134037753,0.0010658087594319421,1.0000431547136315
6,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,-0.00088388788832967336,0.0013952820829403211,1.0000700972536032
6,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-0.0011406101917708011,0.001537260419108933,1.0000700972536032
7,1,0,9,4,3,10,0,0,2,2,0.088388347634454759,-0.00096334392218021866,0.0018221136264858192,1.0000931023704294
7,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-0.0013471548061385966,0.0020106767757349792,1.0000931023704294
8,1,0,9,4,3,10,0,0,0,1,0.08858540052809262,-0.00094596321604219278,4.4100000000000004e-13,1.0001049011818723
8,2,0,10,4,3,0,9,0,2,2,0.26516504299086424,-0.0014464544373415781,0.0024420639160974925,1.0001049011818723
9,1,0,9,4,3,10,0,0,0,1,0.088625331034198465,-0.0008490244513394506,4.4100000000000004e-13,1.0000554333147953
9,2,0,10,4,3,0,9,0,0,1,0.26541208960167978,-0.001428976735849476,4.4100000000000004e-13,1.0000554333147953
10,1,0,9,4,3,10,0,0,0,1,0.088674407808594605,-0.00071249716919860367,4.4100000000000004e-13,0.99990817703721802
10,2,0,10,4,3,0,9,0,0,1,0.2654351093998954,-0.0013015393491042379,4.4100000000000004e-13,0.99990817703721802
11,1,0,9,4,3,10,0,0,0,1,0.088728142092874204,-0.00057510175556900424,4.4100000000000004e-13,0.99970588524246962
11,2,0,10,4,3,0,9,0,0,1,0.26545304963114358,-0.0010890890114719173,4.4100000000000004e-13,0.99970588524246962
12,1,0,9,4,3,10,0,0,0,1,0.088781177400349423,-0.00045864208791875457,4.4100000000000004e-13,0.99952168586182399
12,2,0,10,4,3,0,9,0,0,1,0.2654734838060086,-0.00083856500686161945,4.4100000000000004e-13,0.99952168586182399
13,1,0,9,4,3,10,0,0,0,1,0.088829168943493492,-0.0003728598386255649,4.4100000000000004e-13,0.99942947990573006
13,2,0,10,4,3,0,9,0,0,1,0.26550513544439491,-0.00060717910287036989,4.4100000000000004e-13,0.99942947990573006
14,1,0,9,4,3,10,0,0,0,1,0.088870206250244985,-0.00032346065086422723,4.4100000000000004e-13,0.99947279042213666
14,2,0,10,4,3,0,9,0,0,1,0.26555379622446978,-0.00044272987287532117,4.4100000000000004e-13,0.99947279042213666
15,1,0,9,4,3,10,0,0,0,1,0.088906025646931383,-0.0003157768807600076,4.4100000000000004e-13,0.99964569352524724
15,2,0,10,4,3,0,9,0,0,1,0.26562015998687077,-0.00037231956191166013,4.4100000000000004e-13,0.99964569352524724
16,1,0,9,4,3,10,0,0,0,1,0.08894198637056247,-0.00035255579165230019,4.4100000000000004e-13,0.99989504864352052
16,2,0,10,4,3,0,9,0,0,1,0.26570019347500101,-0.00040062791094886362,4.4100000000000004e-13,0.99989504864352052
17,1,0,9,4,3,10,0,0,0,1,0.08898522698106974,-0.00042968076918916017,4.4100000000000004e-13,1.0001416414995561
17,2,0,10,4,3,0,9,0,0,1,0.26578703259002218,-0.00051296159914181183,4.4100000000000004e-13,1.0001416414995561
18,1,0,9,4,3,10,0,0,0,1,0.089041877366017291,-0.00053394904999459465,4.4100000000000004e-13,1.0003096716697686
18,2,0,10,4,3,0,9,0,0,1,0.26587340661109116,-0.00068064473956852382,4.4100000000000004e-13,1.0003096716697686
19,1,0,9,4,3,10,0,0,0,1,0.089114802687471864,-0.00064431776966932376,4.4100000000000004e-13,1.0003522688992856
19,2,0,10,4,3,0,9,0,0,1,0.26595389162794164,-0.00086769922872832717,4.4100000000000004e-13,1.0003522688992856
20,1,0,9,4,3,10,0,0,0,1,0.089202798686100343,-0.00073644747318914899,4.4100000000000004e-13,1.0002642309613226
20,2,0,10,4,3,0,9,0,0,1,0.26602635768630623,-0.0010377095276382436,4.4100000000000004e-13,1.0002642309613226
