step	time	event	mr	n1	trigger_block	top_platen_block	contact_index	block_a	block_b	involves_top_pair	contact_state	previous_contact_state	contact_entry	contact_type	gap	area	normal_force	px	py	pz	nx	ny	nz	shear_dx	shear_dy	shear_dz	shear_norm	status_closed	pair_role
448	0.2240000000000002	retry_displacement	-1	450	538	641	220	24	641	0	2	2	220	2	-4.7781734339195345e-02	1.0000000000000000e+00	-1.1945433584798836e+03	1.3530785780645758	-0.6871809214860676	49.5758034178111942	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	1.8390546704082412e-03	-1.1296282523717640e-03	-1.2079636735329302e-08	2.1582822033860095e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	221	24	641	0	2	2	221	2	-4.5756196790047894e-02	1.0000000000000000e+00	-1.1439049197511974e+03	0.6583412472511995	1.0132230757349519	49.5754436079641181	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	1.5173656016917554e-03	1.9462334398874744e-03	-5.9134712682151758e-09	2.4678377117972289e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	222	26	641	0	2	2	222	2	-4.8014945087509760e-02	1.0000000000000000e+00	-1.2003736271877440e+03	2.8801138988076844	-1.4755491482612868	49.5758325049991981	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	4.0777081078422935e-03	-2.3839723712670998e-03	-2.6613976009115525e-08	4.7234550575226139e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	223	26	641	0	2	2	223	2	-4.8071686173215521e-02	1.0000000000000000e+00	-1.2017921543303880e+03	1.3530599876717999	-0.6871551022224068	49.5758630432109086	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	1.7434848302690133e-03	-1.0031784444134760e-03	-1.1356495299708058e-08	2.0114935607262038e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	224	30	641	0	2	2	224	2	-4.8685047735539187e-02	1.0000000000000000e+00	-1.2171261933884796e+03	2.6577581553433718	0.6215408501910431	49.5760276042799717	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	4.1484414949844997e-03	6.3663510288033476e-04	-2.2763767468236829e-08	4.1970073971875337e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	225	30	641	0	2	2	225	2	-4.6438620606064837e-02	1.0000000000000000e+00	-1.1609655151516208e+03	1.3530819483005772	-0.6871780889781703	49.5755312038948119	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	1.8528152642243447e-03	-1.1084303092869343e-03	-1.2128268077338245e-08	2.1590604794761428e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	226	30	641	0	2	2	226	2	-4.5273650398046338e-02	1.0000000000000000e+00	-1.1318412599511585e+03	0.6583015331268556	1.0132172305984639	49.5753461773122126	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	1.3134815861324286e-03	1.9281928263329079e-03	-4.7760411736597064e-09	2.3330583903223381e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	227	34	641	0	2	2	227	2	-4.7142053437090332e-02	1.0000000000000000e+00	-1.1785513359272584e+03	2.8801577201074182	-1.4755736432823512	49.5756545079336277	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	4.2849026676720896e-03	-2.4997062095138455e-03	-2.7958669178429485e-08	4.9607380505411842e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	228	34	641	0	2	2	228	2	-4.6649478742727291e-02	1.0000000000000000e+00	-1.1662369685681822e+03	1.3530610901566291	-0.6871434247240871	49.5755751838406837	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	1.7451091031193623e-03	-9.4178558606428596e-04	-1.1279305558997699e-08	1.9830193826676878e-03	1	top_other
448	0.2240000000000002	retry_displacement	-1	450	538	641	229	34	641	0	2	2	229	2	-4.8235730292332635e-02	1.0000000000000000e+00	-1.2058932573083159e+03	2.6577301474306481	0.6215866696869028	49.5759387392833446	-0.0000057034140024	0.0000014082036062	-0.9999999999827440	4.0033925852966381e-03	8.5544973648086717e-04	-2.1628357924075026e-08	4.0937692221375980e-03	1	top_other
